,SocioEcon_0,SocioEcon_1,SocioEcon_2,GoodStudent_0,GoodStudent_1,Age_0,Age_1,Age_2,RiskAversion_0,RiskAversion_1,RiskAversion_2,RiskAversion_3,VehicleYear_0,VehicleYear_1,Accident_0,Accident_1,Accident_2,Accident_3,ThisCarDam_0,ThisCarDam_1,ThisCarDam_2,ThisCarDam_3,RuggedAuto_0,RuggedAuto_1,RuggedAuto_2,MakeModel_0,MakeModel_1,MakeModel_2,MakeModel_3,Antilock_0,Antilock_1,Mileage_0,Mileage_1,Mileage_2,Mileage_3,DrivQuality_0,DrivQuality_1,DrivQuality_2,DrivingSkill_0,DrivingSkill_1,DrivingSkill_2,SeniorTrain_0,SeniorTrain_1,ThisCarCost_0,ThisCarCost_1,ThisCarCost_2,CarValue_0,CarValue_1,CarValue_2,CarValue_3,Theft_1,AntiTheft_0,AntiTheft_1,HomeBase_0,HomeBase_1,HomeBase_2,HomeBase_3,OtherCarCost_0,OtherCarCost_1,OtherCarCost_2,PropCost_0,PropCost_1,PropCost_2,PropCost_3,OtherCar_0,OtherCar_1,MedCost_0,MedCost_1,MedCost_2,MedCost_3,Cushioning_0,Cushioning_1,Cushioning_2,Cushioning_3,Airbag_0,Airbag_1,ILiCost_0,ILiCost_1,DrivHist_0,DrivHist_1,DrivHist_2
23,True,False,False,False,True,False,False,True,False,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,True,True,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False
24,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,True,False,True,False,False
25,False,True,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,True,False,True,False,False,True,False
26,True,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True
27,True,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False
28,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,True,False,False,True
29,True,False,False,False,True,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False
30,False,True,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False
31,True,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False,True,False,False
32,False,True,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False,True,False,False
33,True,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,True
34,False,False,True,False,True,False,True,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,True,True,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,True,False,True,False,False
35,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,True,False,False
36,False,True,False,False,True,False,False,True,False,False,False,True,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False
37,True,False,False,False,True,False,False,True,False,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,True,False,False
38,False,True,False,False,True,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False
39,True,False,False,False,True,False,False,True,False,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False
40,False,True,False,False,True,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True,True,False,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,True,False,False
41,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,True,False
42,False,False,True,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,True,False,True,False,False,False,False,False,True,False,False,False,True,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True
43,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,True
44,False,False,True,False,True,False,False,True,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,True,False,True,False,False
45,False,False,True,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True
46,False,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False
47,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,True
48,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True
49,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,True,False
50,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True
51,True,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,True,False,False
52,False,True,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False
53,False,False,True,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,True,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,True,False,True,False,False
54,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False,True,False,False
55,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True
56,False,True,False,False,True,False,False,True,False,False,False,True,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,False,False,True,True,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False
57,False,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,True,True,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,True,False,True,False,True,False,False
58,False,True,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,True,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,True
59,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False
60,False,True,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True
61,True,False,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False
62,True,False,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,False,False,True
63,True,False,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False
64,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False
65,False,True,False,False,True,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,True,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False
66,False,True,False,False,True,False,True,False,False,False,False,True,False,True,True,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,True,False,False,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,True,True,False,False,True,False
67,True,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,True,False,False
68,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False
69,True,False,False,False,True,False,True,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,True,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,False,True,True,False,False,False,True
70,True,False,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,True,False,False,False,True
71,True,False,False,False,True,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,True,True,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,True,True,False,True,False,False
72,True,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False
73,True,False,False,False,True,False,False,True,False,False,False,True,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,True,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False
74,False,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False,False,True
75,False,False,True,False,True,False,True,False,False,False,False,True,True,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,True,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False
76,False,True,False,False,True,False,False,True,False,False,False,True,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,True,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,True,False,True,False,True,False,False
